purchasing_control.budget.enforcement_rule.tooltip.warn,"Eine Warnung wird angezeigt, wenn die Bestellung dieses Budget überschreitet. Die Bestellung wird fortgesetzt, kann jedoch eine Genehmigung erfordern.",de_DE
purchasing_control.budget.enforcement_rule.tooltip.require_approval,Orders exceeding this budget are automatically routed for approval.,en_US
purchasing_control.budget.enforcement_rule.tooltip.require_approval,Bestellungen die dieses Budget überschreiten werden automatisch zur Genehmigung weitergeleitet.,de_DE
purchasing_control.budget.search.name_placeholder,Search by name...,en_US
purchasing_control.budget.search.name_placeholder,Nach Name suchen...,de_DE
purchasing_control.budget.search.status.all,All,en_US
purchasing_control.budget.search.status.all,Alle,de_DE
purchasing_control.budget.search.status.active,Active,en_US
purchasing_control.budget.search.status.active,Aktiv,de_DE
purchasing_control.budget.search.status.inactive,Inactive,en_US
purchasing_control.budget.search.status.inactive,Inaktiv,de_DE
purchasing_control.budget.search.status.archived,Archived,en_US
purchasing_control.budget.search.status.archived,Archiviert,de_DE
purchasing_control.budget.search.all_currencies,All Currencies,en_US
purchasing_control.budget.search.all_currencies,Alle Währungen,de_DE
purchasing_control.budget.search.all_enforcement_rules,All Rules,en_US
purchasing_control.budget.search.all_enforcement_rules,Alle Regeln,de_DE
purchasing_control.budget.search.starts_at,Start date,en_US
purchasing_control.budget.search.starts_at,Startdatum,de_DE
purchasing_control.budget.search.ends_at,End date,en_US
purchasing_control.budget.search.ends_at,Enddatum,de_DE
purchasing_control.budget.search.active_filters,Active filters:,en_US
purchasing_control.budget.search.active_filters,Aktive Filter:,de_DE
purchasing_control.budget.search.reset_all,Reset all,en_US
purchasing_control.budget.search.reset_all,Alle zurücksetzen,de_DE
purchasing_control.cost_center.access.denied,You do not have access to manage cost centers. Please contact your administrator.,en_US
purchasing_control.cost_center.access.denied,Sie haben keinen Zugriff auf die Verwaltung von Kostenstellen. Bitte wenden Sie sich an Ihren Administrator.,de_DE
purchasing_control.order.detail.title,Cost Center & Budget,en_US
purchasing_control.order.detail.title,Kostenstelle & Budget,de_DE
purchasing_control.order.detail.not_available,N/A,en_US
purchasing_control.order.detail.not_available,N/A,de_DE
purchasing_control.summary.active_cost_centers,Active Cost Centers,en_US
purchasing_control.summary.active_cost_centers,Aktive Kostenstellen,de_DE
purchasing_control.summary.total_budget,Total Budget Allocated,en_US
purchasing_control.summary.total_budget,Gesamtbudget,de_DE
purchasing_control.summary.consumed_budget,Total Spent,en_US
purchasing_control.summary.consumed_budget,Verbrauchtes Budget,de_DE
purchasing_control.summary.remaining_budget,Total Remaining,en_US
purchasing_control.summary.remaining_budget,Verbleibendes Budget,de_DE
purchasing_control.summary.title,Budget & Cost Center Overview,en_US
purchasing_control.summary.title,Budget- & Kostenstellenübersicht,de_DE
purchasing_control.summary.dashboard_title,Budget Dashboard,en_US
purchasing_control.summary.dashboard_title,Budget-Dashboard,de_DE
purchasing_control.summary.no_budgets_assigned,No budgets assigned,en_US
purchasing_control.summary.no_budgets_assigned,Keine Budgets zugewiesen,de_DE
purchasing_control.summary.column_budget_name,Budget Name,en_US
purchasing_control.summary.column_budget_name,Budgetname,de_DE
purchasing_control.summary.column_total,Total,en_US
purchasing_control.summary.column_total,Gesamt,de_DE
purchasing_control.summary.column_consumed,Consumed,en_US
purchasing_control.summary.column_consumed,Verbraucht,de_DE
purchasing_control.summary.column_remaining,Remaining,en_US
purchasing_control.summary.column_remaining,Verbleibend,de_DE
purchasing_control.order.table.cost_center,Cost Center,en_US
purchasing_control.order.table.cost_center,Kostenstelle,de_DE
purchasing_control.order.table.budget,Budget,en_US
purchasing_control.order.table.budget,Budget,de_DE
purchasing_control.budget.validation.end_date_in_past,End date cannot be in the past.,en_US
purchasing_control.budget.validation.end_date_in_past,Das Enddatum darf nicht in der Vergangenheit liegen.,de_DE
purchasing_control.budget.action.view,View,en_US
purchasing_control.budget.action.view,Ansehen,de_DE
purchasing_control.quote_request.cost_center_updated,Cost center and budget have been saved.,en_US
purchasing_control.quote_request.cost_center_updated,Kostenstelle und Budget wurden gespeichert.,de_DE
purchasing_control.budget.validation.cost_center_mismatch,The selected budget does not belong to the selected cost center.,en_US
purchasing_control.budget.validation.cost_center_mismatch,Das ausgewählte Budget gehört nicht zur ausgewählten Kostenstelle.,de_DE
